,phenotype,sex,animal,trial,outcome,latency,c-start,c-end,dist-euclid,dist-total,curvature,speed-mean,speed-peak,acc-peak,xacc-peak,yacc-peak
0,ChR2,F,m1022,1,escape,3.6499999999999773,"(-0.1282410223114544, 0.4453475580286762)","(-0.1302838116690751, 0.0918765359403133)",0.35347692491102095,0.45576219687880043,1.2893690217360787,0.19325151033614302,0.6740048235332954,4.372819103191967,1.8260314110150888,3.984234428465938
1,ChR2,F,m1022,3,escape,3.1499999999999773,"(-0.1084451530355724, 0.4574197818069051)","(-0.1314893752941595, 0.0952963206393998)",0.36285594566912766,0.43450783990854874,1.1974665017746664,0.17782714724828844,0.7238690567835461,4.135616681764177,1.537066605486731,3.316496302843719
2,ChR2,F,m1023,1,escape,2.099999999999966,"(-0.1059092576393773, 0.4335085801732399)","(-0.1315505949284597, 0.1090010129077291)",0.32551903076556443,0.41047136869901973,1.2609750272777052,0.08771615098124992,0.5396009006436433,4.179497315142687,1.562272330869685,3.792491266366249
3,ChR2,F,m1023,2,escape,1.1999999999999886,"(0.1212734360510027, 0.4546880900891434)","(-0.0189301131848096, 0.0835570086174557)",0.39673078384801874,0.4690517071926129,1.1822921897895857,0.18177440236341205,0.5761228439895714,4.523628097582348,2.634009986249128,3.677662648690927
4,ChR2,F,m1023,3,escape,2.550000000000068,"(0.1390451115508692, 0.4369326173455768)","(-0.1328923607250614, 0.124371545721755)",0.41429990625446,0.5191207239818142,1.2530070997963827,0.1334271068077918,0.6275791748875923,4.089105222695828,1.9003726284374745,2.386904202493456
5,ChR2,F,m1023,4,escape,2.0499999999999545,"(-0.1475561318126315, 0.4366960983661229)","(-0.1288726020912399, 0.0894633110903272)",0.3477350756569836,0.423540533974904,1.2179977334029346,0.1760365274784213,0.5341397015126969,5.107613603918362,1.4783797798731846,4.8732449467419166
6,ChR2,F,m1023,5,escape,2.3999999999999773,"(-0.1438070669634079, 0.4599933840139711)","(-0.1210529920902402, 0.0964943858866306)",0.36421047426304753,0.45061187140760295,1.2372293035212185,0.19473176525709826,0.6774894561025527,5.5444737916934095,1.2046454845768662,5.304525824808504
7,ChR2,F,m1024,1,escape,2.900000000000034,"(0.0815792514730386, 0.4603592029823399)","(-0.0597932335818183, 0.0734362042836264)",0.41194124150489037,0.5034001490751204,1.2220193036174658,0.23782523620747748,1.1327939881734277,8.213635460752721,5.398293229062162,7.89083680721693
8,ChR2,F,m1024,2,escape,3.0,"(-0.1152924561396333, 0.4979278272264615)","(-0.1358802962138001, 0.0921407113383039)",0.4063090481145461,0.4447745285434104,1.0946704992354002,0.23932991758503114,1.2383721279551132,10.88471098205814,2.5736280554682467,10.87331598614016
9,ChR2,F,m1024,3,escape,2.5,"(0.1246183266148276, 0.4483008013644496)","(-0.0687694370606724, 0.0979875030542614)",0.40014776534722013,0.4938235234569735,1.2341029145282572,0.23768144821383622,1.1996304305892214,8.861140426745942,3.309529567124385,8.725217056905931
10,ChR2,F,m1024,4,escape,1.6999999999999318,"(-0.124604725304214, 0.4059008642529694)","(-0.1315290184922609, 0.096586891977369)",0.3093914660766598,0.4152685071986704,1.3422106060797967,0.17136498719665258,0.5105510980571232,5.591632398917492,2.056887207862257,4.930113749246646
11,ChR2,F,m1024,5,escape,2.699999999999932,"(-0.0361264510717589, 0.3756049120923792)","(-0.0751545341338608, 0.1049495995410514)",0.2734547302201212,0.35619201070195916,1.3025629888180668,0.199043989997326,0.8217792344508469,5.855885718667,1.4715630839061689,5.767741749919864
12,ChR2,F,m1061,1,escape,3.3000000000000114,"(-0.0641175663613469, 0.4871264616754215)","(-0.1185897377528559, 0.0950397311844368)",0.39585252516968483,0.521904482201839,1.318431610302653,0.2655510797136152,1.1064019289584257,9.4110859702212,3.928834980485496,9.345201610983672
13,ChR2,F,m1061,2,escape,3.849999999999966,"(0.1309394203622004, 0.4528592372786334)","(-0.0443836076674184, 0.0870361277086589)",0.4056657634715063,0.4865448254745728,1.199373645217037,0.2606813427612884,1.150967563802691,10.930183972512417,3.3955667423595792,10.389371885304175
14,ChR2,F,m1061,4,escape,3.2999999999999545,"(0.0965932477673729, 0.3936471170236328)","(-0.0373657896733546, 0.0864988301924581)",0.33508968025794494,0.42880418892858907,1.2796699337279043,0.23681887264391055,1.0167407605968195,7.772964505314895,3.369851635555193,7.004504062046879
15,ChR2,F,m1061,5,escape,4.0,"(0.0052264238108567, 0.4142449935786842)","(-0.1244946663710146, 0.0908060861790813)",0.34848283753697556,0.4596634505405627,1.319041860969094,0.2389262151602014,1.0686773396079503,7.499592793204096,2.464670854837592,5.421539486368598
16,ChR2,M,m1018,1,panic,3.8000000000000114,"(0.1053088788303889, 0.4167168554984987)","(0.1386653852349697, 0.094635769263081)",0.32380377179721886,0.4060295339215591,1.2539370115053319,0.17236935124941222,0.7848033710704121,3.7765814457327087,1.5653157845872123,2.343856273404227
17,ChR2,M,m1018,2,escape,5.199999999999989,"(0.0269552672906132, 0.1506829198249673)","(-0.0320552230203991, 0.088568179391964)",0.08567659508760517,0.3893641700605015,4.5445803449865485,0.15306823655048318,0.6317154252608295,6.385735828943565,5.249795273302565,3.795900313516787
