,phenotype,sex,animal,trial,outcome,latency,c-start,c-end,dist-euclid,dist-total,curvature,speed-mean,speed-peak,acc-peak,xacc-peak,yacc-peak
0,ChR2,F,m1022,1,escape,3.6499999999999773,"(-0.0801411375568038, 0.4762455100318332)","(-0.0899801327450003, 0.0850449667150971)",0.3913242529126234,0.42688341143554454,1.0908687827505057,0.18560148323284545,0.7082936580450047,5.083404092084851,1.843633586593524,4.8871340376614665
1,ChR2,F,m1022,3,escape,3.1499999999999773,"(-0.0739592550114953, 0.4886573814383204)","(-0.0939205017616657, 0.0839641837972669)",0.405185186783478,0.4411227683486024,1.0886942137505355,0.18380115347858436,0.6881531578793435,4.54681352417554,1.6557164828437163,3.356952172938288
2,ChR2,M,m1018,1,panic,3.8000000000000114,"(0.0813701532889698, 0.4630763514545308)","(0.1030800625218619, 0.1202184146424849)",0.3435445895279291,0.3704977698815798,1.0784561340077792,0.1684080772188999,0.751050154867813,3.646693357761384,1.7051875573965036,2.1300688505594634
3,ChR2,M,m1018,2,escape,5.199999999999989,"(0.071204156486673, 0.1765506979100283)","(-0.067448597309946, 0.0746628008467555)",0.1720631561472761,0.33816542780097053,1.96535641547526,0.16103115609570023,0.7455416460790419,7.936941407091166,5.354338175434323,5.858848146409406
4,ChR2,M,m1018,3,escape,3.25,"(-0.0385735826988431, 0.490295256015866)","(-0.1025940781834543, 0.1051330461489983)",0.39044660550659693,0.46678598211107625,1.1955180952474422,0.19863233281322393,0.6099814812188752,4.582521245237738,2.4168220053186253,3.893388287554029
5,ChR2,M,m1018,4,panic,4.800000000000068,"(0.1196734951950156, 0.4617292579205558)","(0.1041137282926233, 0.1229108292587707)",0.3391755208544655,0.3528272004489694,1.040249601622523,0.1534031306299867,0.6578639726561706,3.136346312232836,0.756003250456283,3.051519126604174
6,ChR2,M,m1018,5,escape,3.0,"(-0.1237011951311443, 0.4827490187968719)","(-0.1341432696388235, 0.1849065476457753)",0.2980254595523941,0.3393724249342977,1.1387363530753474,0.1542601931519535,0.7934795798039922,4.324791646755712,1.6814880429538823,2.147271659015304
7,eYFP,F,m1017,1,escape,3.849999999999966,"(0.1126006019209791, 0.4843790216736943)","(-0.0501033765327024, 0.0816264658858907)",0.4343756505586655,0.5062962355343461,1.1655723217523382,0.23013465251561185,0.8057886872883103,7.266888063939924,4.412511197974245,5.773855476333334
8,eYFP,F,m1017,2,escape,3.25,"(0.1103719532710495, 0.4404650995154855)","(-0.0459568726900906, 0.0770766775839041)",0.3955879763343591,0.42744506970077784,1.080530995056059,0.2085097900979404,0.9838930818113548,5.7441252704939245,3.58740425858431,4.25336602578189
9,eYFP,F,m1017,3,escape,3.699999999999932,"(-0.1132433741283089, 0.4377701681740181)","(-0.1067953956080489, 0.0778709033125392)",0.35995702142732355,0.38969367239006725,1.0826116708178941,0.18125287087910105,0.8963224515928524,6.457453696334682,2.1449064835004195,6.037230553820406
10,eYFP,F,m1017,4,escape,2.8999999999999773,"(0.1206460902770464, 0.4628239069344979)","(-0.0374781645651475, 0.0781290470664047)",0.4159247710564146,0.4514591832721802,1.0854347100450668,0.20998101547543266,0.8680480261419998,3.801078725222261,2.906159860282857,2.96072811143695
11,eYFP,F,m1017,5,escape,3.699999999999932,"(-0.1352341857922472, 0.4213366020846799)","(-0.1359406248835277, 0.1613676118102281)",0.25996995011059965,0.27651533525022753,1.0636434523782035,0.13825766762511377,1.0110627512223058,5.37260907881968,1.7745400389457489,0.5700129912590279
12,eYFP,M,m1015,1,escape,3.0,"(0.08802331143354, 0.4918961130799488)","(-0.1000494416843868, 0.07673113391718)",0.4557777094029269,0.5231676142274997,1.1478569562185352,0.23780346101249983,1.1049284885996875,9.759600499239877,3.924341119519076,9.751749858831303
13,eYFP,M,m1015,2,escape,3.1499999999999773,"(0.1201800526589379, 0.4867686494072714)","(-0.0598566932024839, 0.0750918551291704)",0.4493228380657543,0.48791272138554975,1.08588453568467,0.23233939113597607,1.04680917818395,7.454346077802384,4.266955445282674,5.998291018808855
14,eYFP,M,m1015,3,escape,2.8500000000000227,"(-0.1133368550164007, 0.4149105888677811)","(-0.1073847168033083, 0.0732046745699331)",0.3417577501907396,0.43204380423627153,1.2641814384462153,0.21602190211813577,1.0359235983672437,6.321507297772105,4.028952688228838,6.307694264728269
15,eYFP,M,m1015,4,escape,1.900000000000091,"(-0.0875824696973742, 0.4127519866341491)","(-0.0945528451636157, 0.1056181582517628)",0.3072129142320705,0.33805486965635556,1.1003927699503768,0.1609785093601693,0.6971956809831664,5.026875737247149,1.9530298501714891,4.627472094054264
16,eYFP,M,m1015,5,escape,2.6499999999999773,"(0.1053177420648696, 0.4773139579247476)","(-0.059591202158603, 0.0742822953334115)",0.4354646724316876,0.46798201418862106,1.0746727434291115,0.22284857818505766,1.0416858062131091,5.970708636349842,3.73159509431093,4.3652932213768985
